12/12/2000,511.52,512.55,506.73,509.9,143
13/12/2000,515.71,515.9,510.7,515.2,262
14/12/2000,513.52,513.52,509.64,511.03,122
17/12/2000,511.03,518.58,507.31,517.97,176
18/12/2000,521.15,527.91,521.15,525.1,305
19/12/2000,525.1,527.49,519.43,521.11,208
20/12/2000,519.18,519.18,507.07,508.21,110
21/12/2000,508.21,511.84,502.63,509.11,189
24/12/2000,511.85,519.73,511.85,515.51,136
25/12/2000,515.61,518.75,515.61,518.41,127
26/12/2000,518.41,519.98,514.14,515.82,113
27/12/2000,515.82,515.84,506.93,508,117
28/12/2000,508.58,515.03,508.58,512.53,461
31/12/2000,509.17,509.17,501.56,506.05,213
1/1/2001,506.05,506.57,500.99,501.51,120
2/1/2001,496.41,496.41,479.64,484.12,297
3/1/2001,480.81,480.81,466.27,479.21,325
4/1/2001,484.48,498.2,484.48,488.07,313
7/1/2001,477,477,470.13,471.54,172
8/1/2001,471.54,475.62,466.17,468.31,193
9/1/2001,468.86,475.02,468.86,472.31,130
10/1/2001,472.31,475.91,471.29,471.7,144
11/1/2001,472.93,478.03,472.93,477.2,144
14/01/2001,482.72,486.33,482.72,485.56,148
15/01/2001,485.09,485.09,481.12,482.59,95
16/01/2001,482.56,485.77,480.68,484.85,157
17/01/2001,487.25,492.3,487.25,491.77,237
18/01/2001,491.77,493.77,487.52,489.09,157
21/01/2001,483.55,483.55,476.54,478.02,175
22/01/2001,475.55,477.08,467.04,468.13,235
23/01/2001,466.31,471.12,459.81,459.85,220
24/01/2001,459.23,465.39,455.73,463.07,360
25/01/2001,471.2,471.2,465.55,468.89,429
28/01/2001,464.97,466.52,455.31,455.82,159
29/01/2001,453.2,456.12,447.86,454.76,214
30/01/2001,454.79,457.44,447.93,448.9,152
31/01/2001,445.51,457.18,445.51,454.96,148
1/2/2001,450.35,457.96,448.25,456.57,144
4/2/2001,450.78,454.3,447.46,452.37,117
5/2/2001,453.72,463.51,453.72,462.35,225
7/2/2001,454.74,458.42,452.91,455.78,133
8/2/2001,460.29,467.53,459.41,464.8,223
11/2/2001,471.67,477.24,471.38,476.74,202
12/2/2001,475.06,478.14,472.24,476.55,167
13/02/2001,481.26,482.64,474.9,475.91,190
14/02/2001,470.03,472.18,468.15,469.24,96
15/02/2001,476.25,476.25,464.16,468.39,213
18/02/2001,461.82,462.54,455.46,457.77,136
19/02/2001,455.78,458.83,452.23,457.32,98
20/02/2001,458.9,460.9,456.47,459.67,98
21/02/2001,455.73,460.1,454.89,457.43,108
22/02/2001,456.27,458.5,450.17,457.41,470
25/02/2001,454.07,462.63,449.41,461.53,77
26/02/2001,465.81,467.61,464.49,466.09,119
27/02/2001,468.44,468.94,463.06,465.08,90
28/02/2001,460.41,464.62,459.48,463.9,70
1/3/2001,459.62,463.14,455.37,456.02,112
4/3/2001,450.83,451.14,446.66,448.41,92
5/3/2001,450.69,452.98,445.96,451.69,97
6/3/2001,453.07,456.1,451.24,455.75,134
7/3/2001,454.44,455.73,450.1,453.25,125
8/3/2001,451.38,452.51,445.78,447.08,97
11/3/2001,440.41,441.07,436.26,436.98,90
12/3/2001,432.72,435.24,429.16,429.66,155
13/03/2001,420.2,426.42,418.02,423.86,182
14/03/2001,425.77,427.75,403.71,407.1,266
15/03/2001,409.55,415.06,403.36,411.57,187
18/03/2001,403.64,413.39,402.35,411.71,115
19/03/2001,413.48,417.6,411.2,413.01,174
20/03/2001,414.13,417.19,408.99,410.88,137
21/03/2001,405.34,406.98,398.13,401.66,199
22/03/2001,396.12,398.05,389.53,392.43,162
25/03/2001,399.52,408.93,399.52,407.22,120
26/03/2001,406.74,412.82,403.29,406.93,184
27/03/2001,404.42,406.04,397.62,398.08,146
28/03/2001,393.98,409.49,391.22,406.18,185
29/03/2001,388.41,392.29,387.76,391.46,580
1/4/2001,394.05,398.59,391.48,393.15,93
2/4/2001,391.65,392.53,384.29,385.06,95
3/4/2001,378.41,379.7,375.66,376.07,137
4/4/2001,372.89,382.26,372.18,377.29,163
5/4/2001,383.69,391.65,383.02,391.11,172
9/4/2001,389.55,392.13,386.44,386.9,62
10/4/2001,393.95,401.65,393.95,400.95,92
11/4/2001,404.72,406.02,400.15,404.17,107
12/4/2001,406.2,407.34,400.3,402.49,75
15/04/2001,406.59,410.88,406.5,408.68,126
16/04/2001,405.69,406.51,400.96,402.21,75
17/04/2001,397.31,397.39,385.95,389.22,222
18/04/2001,400.14,404.13,398.8,403.6,132
19/04/2001,411.48,412.52,403.77,406.58,172
22/04/2001,408.5,416.07,408.25,414.26,167
23/04/2001,412.98,418.98,411.04,415.06,165
24/04/2001,413.31,416.51,411.59,416.14,391
29/04/2001,416.07,430.47,416.07,429.76,375
30/04/2001,425.97,434.34,425.48,432.3,326
1/5/2001,429.06,432.54,426.87,428.55,141
2/5/2001,435.07,436.72,430.42,435.15,257
3/5/2001,433.13,436.87,430.37,430.97,172
6/5/2001,436.34,437.13,431.51,434.96,91
7/5/2001,434.85,436.92,431.15,432.65,127
8/5/2001,429.5,432.21,425.46,431.23,172
9/5/2001,426.56,427.04,420.41,421.72,197
10/5/2001,424.35,429.31,421.82,427.88,178
13/05/2001,423.06,424.76,420.75,421.46,57
14/05/2001,422.6,422.89,416.06,419.51,107
15/05/2001,418.03,424.43,417.62,423.07,84
16/05/2001,420.7,421.26,417.89,418.56,93
17/05/2001,426.36,429.85,425.42,428.95,215
20/05/2001,424.18,429.18,421.79,428.12,99
21/05/2001,430.13,431.8,427.83,429.33,126
22/05/2001,432.79,437.01,432.49,435.68,161
23/05/2001,436.17,442.17,436.17,439.22,206
24/05/2001,439.84,441.85,437.2,438.9,398
29/05/2001,442.11,443.2,436.11,436.8,165
30/05/2001,433.95,433.95,425.84,427.22,126
31/05/2001,424.11,426.07,420.51,422.88,179
3/6/2001,423.07,423.81,415.48,416.03,261
4/6/2001,416.77,420.44,414.64,416.94,149
5/6/2001,420.79,422.64,419.15,421.62,90
6/6/2001,426.77,428.36,424.88,426.31,135
7/6/2001,424.77,426.95,422.75,424.45,114
10/6/2001,427.75,428.72,422.37,422.68,97
11/6/2001,421.48,422.35,417.23,419.59,201
12/6/2001,417.9,417.9,407.25,407.62,246
13/06/2001,416.87,420.86,412.99,418.98,380
14/06/2001,419.07,419.79,410.91,416.62,184
17/06/2001,419.89,420.28,415.15,417.11,129
18/06/2001,416.99,417.47,411.96,414.45,146
19/06/2001,410.65,417.59,410.65,416.89,133
20/06/2001,412.49,412.49,407.47,410,144
21/06/2001,413.66,414.01,405.14,407.37,152
24/06/2001,405.36,409.66,402.41,406.04,114
25/06/2001,405.9,412.04,404.91,410.95,135
26/06/2001,411.26,412.85,407.38,409.59,163
27/06/2001,412.61,419.05,412.44,417.24,169
28/06/2001,421.62,424.25,417.12,423.61,531
1/7/2001,428.02,433.01,426.69,432.73,192
2/7/2001,429.78,435.53,427.87,432.55,224
3/7/2001,429.38,430.85,426.39,429.05,122
4/7/2001,428.61,432.34,428.21,430.82,100
5/7/2001,430.13,431.59,428.07,428.81,114
8/7/2001,423.39,423.71,420.23,421.61,96
9/7/2001,420.03,425.57,419.97,424.31,134
10/7/2001,428.73,432.84,426.18,431.45,235
11/7/2001,425.89,428.9,424.9,427.02,107
12/7/2001,433.93,436.19,433.21,435.58,186
15/07/2001,435.82,439.98,432.66,439.69,164
16/07/2001,440.31,442.63,439.13,441.15,194
17/07/2001,438.12,440.31,437.2,438.93,132
18/07/2001,439.39,439.82,434.37,435.29,160
19/07/2001,436.41,443,436.41,441.92,212
22/07/2001,443.15,444.71,438.71,441.78,122
23/07/2001,440.92,447.82,440.02,446.24,158
24/07/2001,444.16,447.18,443.38,444.45,155
25/07/2001,445.47,448.68,441.16,446.74,290
26/07/2001,450.25,455.05,447.93,454.79,872
30/07/2001,456.19,457.08,452.72,454.67,221
31/07/2001,453.16,454.78,447.87,449.72,158
1/8/2001,444.8,451.66,441.18,450.94,229
2/8/2001,452.26,455.29,452.01,453,249
5/8/2001,451.96,455.32,450.15,451.57,137
6/8/2001,451.24,453.61,448.5,451.15,130
7/8/2001,448.95,450.53,447.12,448.57,146
8/8/2001,449.16,453.13,449.16,452.51,168
9/8/2001,450.46,452.92,444.49,445.97,163
12/8/2001,444.87,450.16,441.37,449.54,129
13/08/2001,450.69,452.72,449.42,450.6,151
14/08/2001,449.89,450.96,447.23,448.56,123
15/08/2001,447.97,448.99,441.38,443.13,240
16/08/2001,439.88,439.88,435.75,436.67,165
19/08/2001,432.04,433.62,430.1,431.32,103
20/08/2001,433.51,435.38,432.09,433.36,153
21/08/2001,435.55,439.09,435.55,437.84,99
22/08/2001,437.44,440.15,436.18,439.36,83
23/08/2001,440.27,440.51,437.06,438.16,67
26/08/2001,438.22,438.41,433.85,435.4,159
27/08/2001,435.18,438.81,434.9,436.92,112
28/08/2001,435.41,435.47,431.18,433.23,109
29/08/2001,430.34,431.98,428.18,429.69,137
30/08/2001,425.42,428.01,423.45,423.53,464
2/9/2001,423.62,425.45,420.88,421.2,65
3/9/2001,421.17,422.31,413.4,415.88,137
4/9/2001,417.32,420.49,411.39,412.18,128
5/9/2001,409.88,415.23,409.07,414.52,104
6/9/2001,416.23,417.41,413.08,415.03,88
9/9/2001,412.33,413.21,407.68,410.2,78
10/9/2001,411.82,412.15,404.94,407.61,116
11/9/2001,408.57,409.68,395.64,398.07,164
12/9/2001,379.66,391.53,375.52,387.76,438
13/09/2001,391.06,394.37,388.86,392.07,227
16/09/2001,382.34,383.23,371.74,377.9,390
20/09/2001,373.4,378.26,370.65,373.47,233
23/09/2001,368.34,369.23,359.63,360.01,229
24/09/2001,365.64,377.09,365.64,375.53,263
25/09/2001,371.46,374.71,367.47,370.86,535
30/09/2001,376,379.21,369.64,371.33,106
3/10/2001,369.13,369.13,364.6,365,159
4/10/2001,370.43,372.21,365.78,367.75,148
7/10/2001,370.57,377.42,370.57,376.1,103
10/10/2001,377.88,385.12,377.18,383.88,238
11/10/2001,387.78,391.37,386.7,390.87,218
14/10/2001,388.18,388.87,383.55,388.61,116
15/10/2001,387.4,388.03,382.99,383.36,144
16/10/2001,386.6,393.96,386.6,393.85,247
17/10/2001,395.2,398.36,388.73,390.18,186
18/10/2001,384.65,389.84,382.98,387.86,158
21/10/2001,391.4,392.23,387.45,391.2,81
22/10/2001,391.39,395.88,389.93,395.25,106
23/10/2001,398.39,400.48,395.89,396.59,134
24/10/2001,395.51,399.42,392.64,395.25,114
25/10/2001,399.37,399.39,385.74,386.84,460
28/10/2001,392.74,392.74,385.7,387.77,109
29/10/2001,387.67,390.67,385.66,389.67,116
30/10/2001,383.35,384.73,380.95,382.13,125
31/10/2001,381.29,384.34,380.16,381.5,194
1/11/2001,379.04,381.53,377.61,380.62,153
4/11/2001,383.84,386.32,381.88,385.82,118
5/11/2001,390.28,395.22,388.74,394.52,196
6/11/2001,396.26,398.42,390.26,391.62,209
7/11/2001,394.1,395.06,389.2,394.43,227
8/11/2001,394.98,400.31,392.84,398.53,221
11/11/2001,401.1,404.85,400.81,403.16,205
12/11/2001,400.4,402.28,388.42,393.26,315
13/11/2001,400.95,406.13,400.31,405.45,359
14/11/2001,407.08,410.2,406.27,407.32,215
15/11/2001,407.31,409.86,401.88,403.14,185
18/11/2001,405.58,405.59,402.3,404.35,94
19/11/2001,406.47,408.94,405.53,407.72,151
20/11/2001,408.69,409.33,404.95,406.97,155
21/11/2001,405.17,408.37,404.08,405.46,168
22/11/2001,407.54,410.34,406.17,410.03,127
25/11/2001,413.1,416.15,412.72,415.77,176
26/11/2001,415.84,416.36,412.52,414.25,161
27/11/2001,415.6,415.95,411.08,411.51,106
28/11/2001,410.81,415.05,409.29,413.85,147
29/11/2001,415.67,415.67,411.15,413.81,666
2/12/2001,410.82,411.82,404.11,404.56,104
